Responsible for information;№ p/p;Agreement, №;Structural unit 1;Structural unit 2;Name;Leader;Customer;Customer sector;Average cost of the entire contract;Grant;Co-contractor / subcontractor;Financing;Type of work;Service type;type of service;Direction XX.00.00;Direction XX.XX.00;Direction XX.XX.XX;TRL level;Patents (Numbers)
Аксенова Н.В.;;РНФ №16-12-10221;НГУ ФФ;ЛФАВФФ;Разработка пикосекундного детектора на основе микроканальных пластин для эксперимента CMS;Блинов Владимир Евгеньевич;Российский научный фонд;Финансовая и организационная поддержка фундаментальных научных исследований;17 500 000,00;Грант;;Бюджетное;НИОКР;Изготовление прототипов, опытных образцов/партий;Оборудование и установки;29: ФИЗИКА;29.05: ФИЗИКА ЭЛЕМЕНТАРНЫХ ЧАСТИЦ. ТЕОРИЯ ПОЛЕЙ. ФИЗИКА ВЫСОКИХ ЭНЕРГИЙ;29.05.81: МЕТОДИКА И ТЕХНИКА ЭКСПЕРИМЕНТА В ФИЗИКЕ ЭЛЕМЕНТАРНЫХ ЧАСТИЦ;4;
Аксенова Н.В.;;Договор № 2426;НГУ ФИТ;ЛСКТФИТ;"Разработка программного обеспечения ""FanNoise"" для выполнения расчетов генерации звука вентиляторной ступенью авиационного двигателя, включающее в себя программный модуль для выполнения расчетов генерации звука с использованием неструктурированных сеток (""FanNoiseFEM"")";Лаврентьев Михаил Михайлович;ПГНИУ (Пермский государственный национальный исследовательский университет);Образование высшее;3 200 000,00;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;27: МАТЕМАТИКА;27.41: ВЫЧИСЛИТЕЛЬНАЯ МАТЕМАТИКА;27.41.19: ЧИСЛЕННЫЕ МЕТОДЫ РЕШЕНИЯ ДИФФЕРЕНЦИАЛЬНЫХ И ИНТЕГРАЛЬНЫХ УРАВНЕНИЙ;3;
Ерманюк Е.И.;;№ UPS300000/UD-RA/13024 - 019-05;ИНГГ СО РАН;Лаб.динамических проблем сейсмики;Разработка программных модулей азимутального анализа сейсмических данных;"Дучков 
Антон Альбертович";Нафтагас Сербия;Нефть/Газ;9 000 000,00;Не грант;Нет;Внебюджетное;НИОКР;Разработка и тестирование модели/прототипа под гипотезу;Разработка ПО;37: ГЕОФИЗИКА;37.01: ОБЩИЕ ВОПРОСЫ ГЕОФИЗИКИ;37.01.77: МЕТОДЫ ИССЛЕДОВАНИЯ И МОДЕЛИРОВАНИЯ. МАТЕМАТИЧЕСКИЕ И КИБЕРНЕТИЧЕСКИЕ МЕТОДЫ;4;
Ерманюк Е.И.;;№ 101/19-Д;ИГиЛ СО РАН;Лаб.цифровых и интеллектуальных систем добычи углеводородов;Разработка программы интерпретации параметров пласта и трещины по результатам численного моделирования динамических волновых процессов;Головин Cергей Валерьевич;Санкт-Петербургский политехнический университет Петра Великого ФГАОУВО;Образование высшее;6 000 000,00;Не грант;Нет;Внебюджетное;НИОКР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;30: МЕХАНИКА;30.17: МЕХАНИКА ЖИДКОСТИ И ГАЗА;30.17.51: ПРИКЛАДНАЯ ГИДРОДИНАМИКА И ГИДРАВЛИКА;5;-
Ерманюк Е.И.;;№ 100/19-Д;ИГиЛ СО РАН;Лаб.цифровых и интеллектуальных систем добычи углеводородов;Разработка программы многопараметрической оптимизации для интерпретации данных мини-ГРП с учетом пороупругого эффекта на основе прямого численного моделирования;Головин Cергей Валерьевич;Санкт-Петербургский политехнический университет Петра Великого ФГАОУВО;Образование высшее;3 000 000,00;Не грант;Нет;Внебюджетное;НИОКР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;30: МЕХАНИКА;30.51: КОМПЛЕКСНЫЕ И СПЕЦИАЛЬНЫЕ РАЗДЕЛЫ МЕХАНИКИ;30.51.31: ДВИЖЕНИЕ ЖИДКОСТЕЙ И ГАЗОВ В ПОРИСТЫХ СРЕДАХ;5;-
Аксенова Н.В.;;3010-14/114-17;НГУ ММФ;ЛНПГС;Разработка теории внутренних волн Пуанкаре и Кельвина в области с переменной глубиной и криволинейной границей. Анализ возможностей генерации указанных внутренних волн. Разработка моделей и компьютерных средств решения задач генерации и распространения внутренних волн Пуанкаре и Кельвина;Чесноков Александр Александрович;ВО ВГУ ФГБОУ ;Образование высшее;350 000,00;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;30: МЕХАНИКА;30.17: МЕХАНИКА ЖИДКОСТИ И ГАЗА; 30.17.19: ТЕОРИЯ ВОЛН И КОЛЕБАНИЙ ЖИДКОСТИ;2;
Аксенова Н.В.;;РФФИ-51263/15;НГУ ФФ;ЛНТ;Разработка термоанемометрической методики исследования средних и пульсационных характеристик внутренних течений;Сидоренко Андрей Анатольевич;Российский Фонд Фундаментальных Исследований;Финансовая и организационная поддержка фундаментальных научных исследований;140 000,00;Грант;;Бюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;;;;2;
Аксенова Н.В.;;NSK/R&D/59/2015;НГУ ФИТ;—;Разработка тестов  производительности  для  Android ART;Черных Игорь Геннадьевич;Интел А/О;Инфокоммуникационные разработки;640 000,00;Не грант;;Внебюджетное;НИОКР;Изготовление прототипов, опытных образцов/партий;Оборудование и установки;;;;5;
Медных Д.А.;;№ 015-17 от 29.12.2017;ИНГГ СО РАН;ВНМК Ямал;Разработка технических решений для комплексного мониторинга генезиса вод эксплуатационных скважин нефтегазоконденсатных месторождений на основе гидрохтмических и электрофизических методов;Ельцов Игорь Николаевич, Бортникова Светлана Борисовна;Газпром добыча Надым;Нефть/Газ;18 714 585,00;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;;;;;
Медных Д.А.;;№ 019-05 от 23.12.2019;ИНГГ СО РАН;Лаб.динамических проблем сейсмики;Разработка технологии AVAZ-инверсии и реализация программного обеспечения с целью получения параметров анизотропии целевого объекта по данным 3D  сейсморазведки;Митрофанов Георгий Михайлович;НИС-Нафтагас НТЦ ;Нефть/Газ;9 000 000,00;Не грант;;Внебюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;;;;;
Аксенова Н.В.;;Задание № 3.3726.2017/ПЧ;НГУ ФФ;ОПФФФ;Разработка технологии выращивания совершенных сцинтилляционных монокристаллов для калориметрии и поиска редких процессов;Галашов Евгений Николаевич;Министерство науки и высшего образования РФ;Управление высшим образованием и наукой;11 143 700,00;Грант;;Бюджетное;НИР;Разработка и тестирование модели/прототипа под гипотезу;Подходы и методы;29: ФИЗИКА;29.19: ФИЗИКА ТВЕРДЫХ ТЕЛ;"29.19.11: ДЕФЕКТЫ КРИСТАЛЛИЧЕСКОЙ СТРУКТУРЫ;
29.19.21: ВЛИЯНИЕ ОБЛУЧЕНИЯ НА СВОЙСТВА ТВЕРДЫХ ТЕЛ; 
29.19.22: ФИЗИКА НАНОСТРУКТУР. НИЗКОРАЗМЕР-НЫЕ СТРУКТУРЫ. МЕЗОСКОПИЧЕСКИЕ СТРУКТУРЫ";5;
